kepoi_name,kepler_name,change,koi_period,koi_prad,koi_insol,koi_steff,koi_tce_delivname,p_planet_2020
K04969.01,,FALSE POSITIVE → CANDIDATE,59.14382117,,,,q1_q16_tce,0.2348753219556969
K04975.01,,FALSE POSITIVE → CANDIDATE,47.0628978,4.1,12.9,5838.0,q1_q17_dr25_tce,0.91616187950117
K05220.01,,CANDIDATE → FALSE POSITIVE,1.534679933,18.39,38505.56,4965.0,q1_q17_dr25_tce,0.09198784533767948
K05222.01,,FALSE POSITIVE → CANDIDATE,367.6758,2.77,1.27,6140.0,q1_q16_tce,0.3198177932047837
K04981.01,,FALSE POSITIVE → CANDIDATE,349.73652,2.32,0.52,5310.0,q1_q16_tce,0.1955259779560513
K05226.01,,FALSE POSITIVE → CANDIDATE,249.35154,4.42,1.65,5780.0,q1_q16_tce,0.4454038543518463
K05227.01,,FALSE POSITIVE → CANDIDATE,371.56492,1.89,1.06,5735.0,q1_q16_tce,0.3714398935739053
K05229.01,,FALSE POSITIVE → CANDIDATE,364.63189,2.06,1.86,6446.0,q1_q16_tce,0.37906342699024526
K04987.01,,CANDIDATE → FALSE POSITIVE,12.5748872,1.03,3.49,3552.0,q1_q17_dr25_tce,0.6609745864378674
K04988.01,,CANDIDATE → FALSE POSITIVE,484.172005,2.38,0.72,5858.0,q1_q16_tce,0.4305782297239655
K05110.01,,FALSE POSITIVE → CANDIDATE,105.5904748,8.16,47.59,4869.0,q1_q17_dr25_tce,0.5513968961886642
K05236.01,,FALSE POSITIVE → CANDIDATE,550.86514,2.06,0.76,5912.0,q1_q17_dr25_tce,0.7209540629629712
K05001.01,,FALSE POSITIVE → CANDIDATE,59.9655175,1.92,12.67,5729.0,q1_q16_tce,0.4253385922287115
K05003.01,,FALSE POSITIVE → CANDIDATE,112.951287,15.19,88.86,5215.0,q1_q16_tce,0.38519807553689017
K05124.01,,FALSE POSITIVE → CANDIDATE,276.879492,11.67,1.08,5324.0,q1_q17_dr25_tce,0.6774768146136848
K05129.01,,CANDIDATE → FALSE POSITIVE,0.66882716,124.42,7165673.12,3711.0,q1_q17_dr25_tce,0.03284967403925543
K05130.01,,FALSE POSITIVE → CANDIDATE,370.05918,1.9,0.43,5228.0,q1_q16_tce,0.21580516990229653
K05006.01,,FALSE POSITIVE → CANDIDATE,126.51457638,,,,q1_q16_tce,0.29548822819181103
K05009.01,,FALSE POSITIVE → CANDIDATE,359.98653,1.76,0.38,5171.0,q1_q16_tce,0.24731327245267598
K05132.01,,CANDIDATE → FALSE POSITIVE,43.9311596,58.37,156.74,4888.0,q1_q17_dr25_tce,0.07153409519092863
K05134.01,,FALSE POSITIVE → CANDIDATE,573.23826,6.93,3.09,5172.0,q1_q16_tce,0.08654925549599037
K05262.01,,FALSE POSITIVE → CANDIDATE,438.98396,32.58,30.43,5053.0,q1_q16_tce,0.37101173207893395
K05016.01,,CANDIDATE → FALSE POSITIVE,0.523632451,1.08,188657.97,8277.0,q1_q17_dr25_tce,0.10274868654124614
K05264.01,,FALSE POSITIVE → CANDIDATE,52.69092296,,,,q1_q16_tce,0.37578576596516244
K05266.01,,FALSE POSITIVE → CANDIDATE,37.71508287,,,,q1_q16_tce,0.2707753304110462
K05267.01,,FALSE POSITIVE → CANDIDATE,5.1779065,2.93,1692.64,5921.0,q1_q17_dr25_tce,0.8925705828094177
K05268.01,,FALSE POSITIVE → CANDIDATE,474.22897,2.0,0.6,5818.0,q1_q16_tce,0.5214550678910207
K05022.01,,FALSE POSITIVE → CANDIDATE,117.26808432,,,,q1_q16_tce,0.29548822819181103
K05775.01,,FALSE POSITIVE → CANDIDATE,492.23808,2.19,0.45,5609.0,q1_q16_tce,0.3452616996070692
K05654.01,,FALSE POSITIVE → CANDIDATE,54.6957124,3.28,6.34,5299.0,q1_q17_dr25_tce,0.9376671688511713
K05407.01,,FALSE POSITIVE → CANDIDATE,58.5029431,1.54,33.01,6525.0,q1_q16_tce,0.32819304945436084
K05539.01,,FALSE POSITIVE → CANDIDATE,374.05697,2.34,0.45,5302.0,q1_q16_tce,0.5525228056981661
K05789.01,,FALSE POSITIVE → CANDIDATE,383.26217,1.57,0.4,5074.0,q1_q16_tce,0.5728841486398829
K05794.01,,FALSE POSITIVE → CANDIDATE,30.9771151,4.3,192.79,5197.0,q1_q16_tce,0.4835803979448839
K05422.01,,FALSE POSITIVE → CANDIDATE,360.64485255,,,,q1_q16_tce,0.36255252861124393
K05543.01,,CANDIDATE → FALSE POSITIVE,7.41505161,91.09,14853.21,4989.0,q1_q17_dr25_tce,0.13520056761233115
K05547.01,,FALSE POSITIVE → CANDIDATE,571.14302,2.22,0.46,5751.0,q1_q16_tce,0.46452773361219046
K05550.01,,FALSE POSITIVE → CANDIDATE,540.39267,3.63,0.42,5693.0,q1_q16_tce,0.6174691018175087
K05796.01,,FALSE POSITIVE → CANDIDATE,495.854189,2.41,0.67,5613.0,q1_q17_dr25_tce,0.5910704912062349
K05425.01,,FALSE POSITIVE → CANDIDATE,39.42516213,,,,q1_q16_tce,0.29283528336082676
K05681.01,,FALSE POSITIVE → CANDIDATE,77.51257,28199.3,57.44,5261.0,q1_q16_tce,0.3467065812249673
K05805.01,,FALSE POSITIVE → CANDIDATE,525.757041,11.07,4.52,5277.0,q1_q17_dr25_tce,0.5443378626305284
